village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Pedaramabhadrapuram,Anakapalli,743,586463,village,TUNI,3.98,Amagura,193.95,Visakhapatnam Port,77.91,ICD Hyderabad (Sanathnagar),430.21,Petrapole ICP,896.98,Visakhapatnam International Airport (VTZ),80.36,MMLP Visakhapatnam,77.91,Vijayawada Terminals (Durga Ghat / Bhavani Island),221.77,FCI Depot Visakhapatnam,77.91
Vempadu,Anakapalli,743,586445,village,GULLIPADU,7.33,Amagura,193.91,Visakhapatnam Port,65.74,ICD Raipur,436.85,Petrapole ICP,886.08,Visakhapatnam International Airport (VTZ),68.33,MMLP Visakhapatnam,65.74,Vijayawada Terminals (Durga Ghat / Bhavani Island),234.27,FCI Depot Visakhapatnam,65.74
Devavaram,Anakapalli,743,586440,village,GULLIPADU,4.82,Amagura,188.52,Visakhapatnam Port,73.15,ICD Raipur,431.73,Petrapole ICP,891.13,Visakhapatnam International Airport (VTZ),75.43,MMLP Visakhapatnam,73.15,Vijayawada Terminals (Durga Ghat / Bhavani Island),226.25,FCI Depot Visakhapatnam,73.15
Kagitha,Anakapalli,743,586446,village,GULLIPADU,6.03,Amagura,190.84,Visakhapatnam Port,63.84,ICD Raipur,433.72,Petrapole ICP,883.56,Visakhapatnam International Airport (VTZ),66.31,MMLP Visakhapatnam,63.84,Vijayawada Terminals (Durga Ghat / Bhavani Island),235.82,FCI Depot Visakhapatnam,63.84
Chinarambhadrapuram,Anakapalli,743,586439,village,GULLIPADU,3.71,Amagura,188.91,Visakhapatnam Port,72.03,ICD Raipur,432.1,Petrapole ICP,890.28,Visakhapatnam International Airport (VTZ),74.34,MMLP Visakhapatnam,72.03,Vijayawada Terminals (Durga Ghat / Bhavani Island),227.39,FCI Depot Visakhapatnam,72.03
Buddibanda,Anakapalli,743,585842,village,BAYYAVARAM,25.28,Amagura,149.62,Visakhapatnam Port,49.89,ICD Raipur,390.49,Petrapole ICP,844.79,Visakhapatnam International Airport (VTZ),49.46,MMLP Visakhapatnam,49.89,Vijayawada Terminals (Durga Ghat / Bhavani Island),265.24,FCI Depot Visakhapatnam,49.89
Veeranarayanam,Anakapalli,743,585913,village,BAYYAVARAM,25.19,Amagura,148.66,Visakhapatnam Port,46.18,ICD Raipur,388.52,Petrapole ICP,838.2,Visakhapatnam International Airport (VTZ),45.32,MMLP Visakhapatnam,46.18,Vijayawada Terminals (Durga Ghat / Bhavani Island),271.9,FCI Depot Visakhapatnam,46.18
Vijayaramarajupeta,Anakapalli,743,586238,village,KASIMKOTA,21.48,Amagura,152.94,Visakhapatnam Port,39.31,ICD Raipur,391.67,Petrapole ICP,833.62,Visakhapatnam International Airport (VTZ),38.26,MMLP Visakhapatnam,39.31,Vijayawada Terminals (Durga Ghat / Bhavani Island),277.54,FCI Depot Visakhapatnam,39.31
Khandipalle,Anakapalli,743,586206,village,ANAKAPALLE,19.51,Amagura,155.29,Visakhapatnam Port,34.72,ICD Raipur,392.91,Petrapole ICP,828.99,Visakhapatnam International Airport (VTZ),33.35,MMLP Visakhapatnam,34.72,Vijayawada Terminals (Durga Ghat / Bhavani Island),282.82,FCI Depot Visakhapatnam,34.72
Tadaparthi Jangampeta,Anakapalli,743,586292,village,NARSIPATNAM RD,8.51,Amagura,177.65,Visakhapatnam Port,56.96,ICD Raipur,420.25,Petrapole ICP,872.62,Visakhapatnam International Airport (VTZ),58.8,MMLP Visakhapatnam,56.96,Vijayawada Terminals (Durga Ghat / Bhavani Island),243.01,FCI Depot Visakhapatnam,56.96
Komira,Anakapalli,743,585845,village,BAYYAVARAM,24.1,Amagura,150.12,Visakhapatnam Port,47.53,ICD Raipur,390.56,Petrapole ICP,842.23,Visakhapatnam International Airport (VTZ),46.97,MMLP Visakhapatnam,47.53,Vijayawada Terminals (Durga Ghat / Bhavani Island),268.0,FCI Depot Visakhapatnam,47.53
Vangali,Anakapalli,743,586034,village,PENDURTI,11.4,Amagura,166.7,Visakhapatnam Port,20.8,ICD Bhubaneswar,389.78,Petrapole ICP,820.59,Visakhapatnam International Airport (VTZ),18.61,MMLP Visakhapatnam,20.8,Vijayawada Terminals (Durga Ghat / Bhavani Island),294.29,FCI Depot Visakhapatnam,20.8
Mogalipuram,Anakapalli,743,586040,village,PENDURTI,4.06,Amagura,171.64,Visakhapatnam Port,16.25,ICD Bhubaneswar,384.98,Petrapole ICP,815.92,Visakhapatnam International Airport (VTZ),13.19,MMLP Visakhapatnam,16.25,Vijayawada Terminals (Durga Ghat / Bhavani Island),300.42,FCI Depot Visakhapatnam,16.25
Annavaram,Anakapalli,743,586212,village,ANAKAPALLE,16.05,Amagura,158.63,Visakhapatnam Port,32.19,ICD Raipur,396.39,Petrapole ICP,830.69,Visakhapatnam International Airport (VTZ),31.09,MMLP Visakhapatnam,32.19,Vijayawada Terminals (Durga Ghat / Bhavani Island),281.88,FCI Depot Visakhapatnam,32.19
Lingabhupala Puram Agraharam,Anakapalli,743,586236,village,BAYYAVARAM,20.14,Amagura,153.87,Visakhapatnam Port,40.59,ICD Raipur,393.23,Petrapole ICP,837.27,Visakhapatnam International Airport (VTZ),39.86,MMLP Visakhapatnam,40.59,Vijayawada Terminals (Durga Ghat / Bhavani Island),273.97,FCI Depot Visakhapatnam,40.59
Lopudi,Anakapalli,743,586235,village,BAYYAVARAM,20.53,Amagura,153.35,Visakhapatnam Port,41.83,ICD Raipur,392.94,Petrapole ICP,838.41,Visakhapatnam International Airport (VTZ),41.16,MMLP Visakhapatnam,41.83,Vijayawada Terminals (Durga Ghat / Bhavani Island),272.67,FCI Depot Visakhapatnam,41.83
Juttada,Anakapalli,743,586211,village,ANAKAPALLE,15.28,Amagura,159.64,Visakhapatnam Port,30.77,ICD Raipur,397.15,Petrapole ICP,829.84,Visakhapatnam International Airport (VTZ),29.63,MMLP Visakhapatnam,30.77,Vijayawada Terminals (Durga Ghat / Bhavani Island),283.01,FCI Depot Visakhapatnam,30.77
Neelampeta,Anakapalli,743,585928,village,Lakkavarapukota,24.77,Amagura,147.17,Visakhapatnam Port,41.33,ICD Raipur,384.31,Petrapole ICP,824.33,Visakhapatnam International Airport (VTZ),39.4,MMLP Visakhapatnam,41.33,Vijayawada Terminals (Durga Ghat / Bhavani Island),285.84,FCI Depot Visakhapatnam,41.33
Alamanda,Anakapalli,743,585989,village,Lakkavarapukota,17.99,Amagura,151.81,Visakhapatnam Port,35.71,ICD Raipur,387.37,Petrapole ICP,819.11,Visakhapatnam International Airport (VTZ),33.36,MMLP Visakhapatnam,35.71,Vijayawada Terminals (Durga Ghat / Bhavani Island),292.09,FCI Depot Visakhapatnam,35.71
Donivanilakshmipuram,Anakapalli,743,586444,village,GULLIPADU,8.87,Amagura,196.66,Visakhapatnam Port,69.76,ICD Raipur,439.73,Petrapole ICP,890.37,Visakhapatnam International Airport (VTZ),72.41,MMLP Visakhapatnam,69.76,Vijayawada Terminals (Durga Ghat / Bhavani Island),230.61,FCI Depot Visakhapatnam,69.76
