village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Sadhauli,Purnia,211,223551,village,27,6.37,19,358.99,KASBA,6.01,Budhma,60.4,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,371.24,ICD Siliguri,130.71,Jogbani ICP,58.59,Jay Prakash Narayan International Airport (PAT),236.78,MMLP Patna,231.67,Sahibganj Multi-Modal Terminal,70.21,FCI Depot Siliguri,129.54,Purnia Toll Plaza,14.11
Banaili,Purnia,211,223548,village,27,8.45,19,363.39,GARH BANAILI,8.03,Budhma,58.64,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,375.64,ICD Siliguri,129.07,Jogbani ICP,54.15,Jay Prakash Narayan International Airport (PAT),235.65,MMLP Patna,230.54,Sahibganj Multi-Modal Terminal,74.62,FCI Depot Siliguri,127.84,Purnia Toll Plaza,17.95
Ahmadpur Pahi,Araria,209,221725,village,327,3.21,19,390.11,HALDITA BIHAR,2.43,Budhma,55.34,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,402.35,ICD Siliguri,121.77,Jogbani ICP,27.21,Jay Prakash Narayan International Airport (PAT),230.92,MMLP Patna,225.9,Sahibganj Multi-Modal Terminal,101.44,FCI Depot Siliguri,120.11,Hariabara,9.09
Ahmadpur,Araria,209,221560,village,27,4.24,19,391.55,HALDITA BIHAR,1.14,Budhma,55.94,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,403.79,ICD Siliguri,121.13,Jogbani ICP,25.8,Jay Prakash Narayan International Airport (PAT),231.18,MMLP Patna,226.17,Sahibganj Multi-Modal Terminal,102.87,FCI Depot Siliguri,119.44,Hariabara,9.18
Ajitnagar,Araria,209,221531,village,27,9.78,19,407.6,Lalitgram,14.74,Budhma,44.41,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,419.8,ICD Siliguri,138.98,Jogbani ICP,21.29,Jay Prakash Narayan International Airport (PAT),210.5,MMLP Patna,205.58,Sahibganj Multi-Modal Terminal,121.0,FCI Depot Siliguri,137.02,Hariabara,35.32
Akarthappa,Araria,209,221679,village,327,6.72,19,381.05,Harapatti,11.84,Budhma,25.74,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,393.21,ICD Siliguri,151.67,Jogbani ICP,45.18,Jay Prakash Narayan International Airport (PAT),202.93,MMLP Patna,197.86,Sahibganj Multi-Modal Terminal,96.83,FCI Depot Siliguri,150.02,Hariabara,38.18
Jogbani (MCl),Araria,209,801305,village,527,0.24,19,417.52,JOGBANI,2.65,Budhma,64.73,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,429.76,ICD Siliguri,120.18,Jogbani ICP,0.93,Jay Prakash Narayan International Airport (PAT),229.35,MMLP Patna,224.49,Sahibganj Multi-Modal Terminal,128.98,FCI Depot Siliguri,118.13,Hariabara,31.29
Amgachhi,Araria,209,221952,village,05,4.68,19,415.99,JOGBANI,22.99,Budhma,84.15,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,428.25,ICD Siliguri,96.02,Jogbani ICP,23.61,Jay Prakash Narayan International Airport (PAT),253.37,MMLP Patna,248.48,Sahibganj Multi-Modal Terminal,127.81,FCI Depot Siliguri,94.03,Hariabara,29.28
Amgachhi,Araria,209,221589,village,08,7.3,19,413.3,JOGBANI,7.63,Budhma,67.34,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,425.55,ICD Siliguri,114.3,Jogbani ICP,6.66,Jay Prakash Narayan International Airport (PAT),235.09,MMLP Patna,230.19,Sahibganj Multi-Modal Terminal,124.54,FCI Depot Siliguri,112.31,Hariabara,25.27
Amgachhi Milik,Araria,209,221954,village,05,4.78,19,416.68,JOGBANI,20.76,Budhma,82.65,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,428.94,ICD Siliguri,98.06,Jogbani ICP,21.44,Jay Prakash Narayan International Airport (PAT),251.34,MMLP Patna,246.45,Sahibganj Multi-Modal Terminal,128.34,FCI Depot Siliguri,96.05,Hariabara,29.22
