district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
AHMADABAD,581,5.86,7.77,71.77280550774526,96.72977624784855,100.0,38.14,42.07,3.098106712564544,22.203098106712567,71.08433734939759,136.16,133.25,0.0,0.0,0.17211703958691912,47.63,47.95,6.884681583476763,23.407917383820998,55.07745266781411,914.7,922.53,0.0,0.0,0.0,50.65,50.23,6.712564543889846,21.858864027538726,49.05335628227194,197.1,196.59,0.0,0.0,0.0,1046.04,1052.76,0.0,0.0,0.0,45.88,45.29,7.573149741824441,28.055077452667813,56.28227194492255,6496453.0
AMRELI,696,8.0,9.97,59.05172413793104,97.70114942528735,100.0,149.67000000000002,153.87,0.0,0.0,0.0,64.14,60.62,3.1609195402298855,16.954022988505745,36.92528735632184,106.16999999999999,108.86,0.0,0.0,0.0,1106.1100000000001,1106.7,0.0,0.0,0.0,156.5,157.07,0.0,0.0,0.0,164.4,164.84,0.0,0.0,0.0,1058.03,1057.21,0.0,0.0,0.0,106.44999999999999,108.41,0.0,0.0,0.0,1427317.0
ANAND,438,6.145,9.15,64.84018264840182,94.29223744292237,100.0,62.295,60.9,0.0,0.0,16.666666666666664,88.66,90.28,0.0,0.0,0.0,72.37,73.27,0.0,0.0,0.0,956.89,956.01,0.0,0.0,0.0,70.86500000000001,71.97,0.0,0.0,0.0,141.84500000000003,142.43,0.0,0.0,0.0,979.67,981.31,0.0,0.0,0.0,67.62,68.51,0.0,0.0,2.054794520547945,2100423.0
ARVALLI,729,10.66,11.92,47.05075445816186,93.82716049382715,100.0,126.84,124.16,0.0,0.0,0.0,210.59,209.06,0.0,0.0,0.0,92.81,89.0,0.0,0.0,1.7832647462277091,840.51,840.69,0.0,0.0,0.0,89.21,85.43,0.0,0.0,3.155006858710562,248.58,250.36,0.0,0.0,0.0,977.48,978.54,0.0,0.0,0.0,96.9,93.04,0.0,0.0,1.2345679012345678,1053947.0
BANAS KANTHA,1274,13.05,15.55,39.010989010989015,84.30141287284144,97.25274725274726,134.48,135.92,0.0,0.0,0.0,239.1,232.99,0.0,0.0,0.0,137.70499999999998,141.61,0.0,0.0,0.0,781.9449999999999,784.37,0.0,0.0,0.0,138.99,143.29,0.0,0.0,0.0,340.975,345.03,0.0,0.0,0.0,1079.6599999999999,1079.48,0.0,0.0,0.0,143.13,147.02,0.0,0.0,0.0,3152346.0
BHARUCH,715,12.23,13.15,39.16083916083916,92.58741258741259,100.0,50.06,50.5,0.0,1.5384615384615385,49.790209790209786,51.28,54.79,0.6993006993006993,6.293706293706294,45.59440559440559,75.06,75.21,0.0,0.0,7.5524475524475525,1032.43,1029.74,0.0,0.0,0.0,80.14,78.74,0.0,0.0,6.153846153846154,71.31,70.98,0.0,0.0,12.167832167832168,920.07,921.85,0.0,0.0,0.0,71.31,70.46,0.0,0.0,12.167832167832168,1521670.0
BHAVNAGAR,756,13.64,14.42,37.301587301587304,84.52380952380952,100.0,146.365,147.84,0.0,0.0,0.0,56.785,54.54,0.0,5.952380952380952,35.18518518518518,111.38499999999999,108.52,0.0,0.0,0.0,1076.68,1076.99,0.0,0.0,0.0,102.85499999999999,101.72,0.0,0.0,0.0,108.93,107.42,0.0,0.0,0.0,1006.585,1007.17,0.0,0.0,0.0,107.255,103.44,0.0,0.0,0.0,2329324.0
BOTAD,212,7.66,8.9,64.15094339622641,100.0,100.0,103.69999999999999,103.27,0.0,0.0,0.0,98.89500000000001,98.14,0.0,0.0,0.0,91.565,92.33,0.0,0.0,0.0,1016.93,1020.72,0.0,0.0,0.0,139.07,137.64,0.0,0.0,0.0,155.425,156.76,0.0,0.0,0.0,1057.3249999999998,1057.08,0.0,0.0,0.0,91.48,91.94,0.0,0.0,0.0,1057895.0
CHHOTAUDEPUR,904,15.455,17.04,32.30088495575221,74.88938053097345,100.0,65.53,64.52,0.0,0.22123893805309736,21.570796460176993,145.32999999999998,145.44,0.0,0.0,0.0,144.85000000000002,145.96,0.0,0.0,0.0,975.475,972.46,0.0,0.0,0.0,149.16500000000002,150.21,0.0,0.0,0.0,150.74,152.29,0.0,0.0,0.0,881.72,882.36,0.0,0.0,0.0,143.345,145.36,0.0,0.0,0.0,1941542.0
DAHOD,718,16.945,17.67,32.45125348189415,74.65181058495823,99.86072423398329,125.14,123.8,0.0,0.0,0.0,205.615,204.74,0.0,0.0,0.0,145.94,145.76,0.0,0.0,0.0,896.85,895.6,0.0,0.0,0.0,145.47500000000002,145.81,0.0,0.0,0.0,183.35500000000002,179.78,0.0,0.0,0.0,911.315,910.02,0.0,0.0,0.0,150.17,149.75,0.0,0.0,0.0,2190352.0
