village,district,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
SARGIA,KHUNTI,375444,village,Gautamdhara,28.71,ICD Ranchi,35.81,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,285.45,Jay Prakash Narayan International Airport (PAT),275.05,Petrapole ICP,331.05
TELENGADIH,KHUNTI,375443,village,Gautamdhara,29.51,ICD Ranchi,37.17,Dhamra Port,284.23,Jay Prakash Narayan International Airport (PAT),276.23,Petrapole ICP,330.19
PANDUDIH,KHUNTI,375441,village,Gautamdhara,27.44,ICD Ranchi,36.3,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,283.9,Jay Prakash Narayan International Airport (PAT),274.5,Petrapole ICP,329.29
CHIRUDIH,KHUNTI,375442,village,Gautamdhara,28.89,ICD Ranchi,37.77,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,283.15,Jay Prakash Narayan International Airport (PAT),276.13,Petrapole ICP,328.85
BERAHATU,KHUNTI,375432,village,Gautamdhara,30.65,ICD Ranchi,38.6,Dhamra Port,282.76,Jay Prakash Narayan International Airport (PAT),277.64,Petrapole ICP,329.55
SIGID,KHUNTI,375435,village,Gautamdhara,28.94,ICD Ranchi,38.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,281.67,Jay Prakash Narayan International Airport (PAT),276.67,Petrapole ICP,327.4
GURBERA,KHUNTI,375439,village,Gautamdhara,26.48,ICD Ranchi,36.69,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,282.74,Jay Prakash Narayan International Airport (PAT),274.03,Petrapole ICP,327.96
TEKNEIYAN,KHUNTI,375438,village,Gautamdhara,26.69,ICD Ranchi,37.32,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,282.12,Jay Prakash Narayan International Airport (PAT),274.44,Petrapole ICP,327.39
UPAR GANJHARI,KHUNTI,375436,village,Gautamdhara,26.96,ICD Ranchi,37.87,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,281.62,Jay Prakash Narayan International Airport (PAT),274.84,Petrapole ICP,326.95
CHAINPUR,KHUNTI,375437,village,Gautamdhara,26.35,ICD Ranchi,37.54,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,281.62,Jay Prakash Narayan International Airport (PAT),274.28,Petrapole ICP,326.83
