village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
,AMRITSAR,49,0,village,ATARI,19.72,Kathunangal,40.21,Deendayal Port (Kandla),1042.2,ICD Ludhiana,152.47,Kartarpur Sahib ICP,45.06,Sri Guru Ram Dass Jee International Airport (ATQ),20.71,MMLP Jammu,107.62,Varanasi Multi-Modal Terminal,1070.82,FCI Depot Ferozepur,93.06
BAJWA,AMRITSAR,49,37117,village,Kathunangal,28.0,Kathunangal,28.0,Deendayal Port (Kandla),1067.97,ICD Ludhiana,148.04,Kartarpur Sahib ICP,16.52,Sri Guru Ram Dass Jee International Airport (ATQ),24.87,MMLP Jammu,87.17,Varanasi Multi-Modal Terminal,1064.4,FCI Depot Jammu,87.17
BEHARWAL,AMRITSAR,49,37305,village,ATARI,6.09,Kathunangal,36.49,Deendayal Port (Kandla),1031.19,ICD Ludhiana,140.1,Kartarpur Sahib ICP,50.5,Sri Guru Ram Dass Jee International Airport (ATQ),16.53,MMLP Jammu,120.77,Varanasi Multi-Modal Terminal,1058.13,FCI Depot Ferozepur,78.75
BHADAL,AMRITSAR,49,37261,village,Kathunangal,28.25,Kathunangal,28.25,Deendayal Port (Kandla),1066.71,ICD Ludhiana,148.35,Kartarpur Sahib ICP,18.05,Sri Guru Ram Dass Jee International Airport (ATQ),23.95,MMLP Jammu,87.95,Varanasi Multi-Modal Terminal,1064.94,FCI Depot Jammu,87.95
BHADRU,AMRITSAR,49,37195,village,ATARI,17.9,Kathunangal,47.65,Deendayal Port (Kandla),1034.96,ICD Ludhiana,155.96,Kartarpur Sahib ICP,53.96,Sri Guru Ram Dass Jee International Airport (ATQ),27.34,MMLP Jammu,113.88,Varanasi Multi-Modal Terminal,1074.02,FCI Depot Ferozepur,89.13
BHAGGUPUR UTTAR,AMRITSAR,49,37185,village,ATARI,18.37,Kathunangal,40.76,Deendayal Port (Kandla),1040.61,ICD Ludhiana,152.12,Kartarpur Sahib ICP,46.39,Sri Guru Ram Dass Jee International Airport (ATQ),20.94,MMLP Jammu,109.17,Varanasi Multi-Modal Terminal,1070.45,FCI Depot Ferozepur,91.65
BHAKE TARASINGH,AMRITSAR,49,0,village,CHHEHARTA,22.61,Kathunangal,24.95,Deendayal Port (Kandla),1054.92,ICD Ludhiana,143.37,Kartarpur Sahib ICP,27.34,Sri Guru Ram Dass Jee International Airport (ATQ),13.05,MMLP Jammu,99.13,Varanasi Multi-Modal Terminal,1061.19,FCI Depot Jammu,99.13
BUDHA WARSAL,AMRITSAR,49,37125,village,Kathunangal,31.81,Kathunangal,31.81,Deendayal Port (Kandla),1067.47,ICD Ludhiana,151.91,Kartarpur Sahib ICP,20.27,Sri Guru Ram Dass Jee International Airport (ATQ),26.06,MMLP Jammu,85.89,Varanasi Multi-Modal Terminal,1068.57,FCI Depot Jammu,85.89
CHUCHAKWAL,AMRITSAR,49,37217,village,ATARI,19.55,Kathunangal,37.48,Deendayal Port (Kandla),1043.24,ICD Ludhiana,150.25,Kartarpur Sahib ICP,42.78,Sri Guru Ram Dass Jee International Airport (ATQ),18.11,MMLP Jammu,107.14,Varanasi Multi-Modal Terminal,1068.62,FCI Depot Ferozepur,92.92
CHAK ALLAH BAKSH,AMRITSAR,49,37202,village,ATARI,11.47,Kathunangal,45.03,Deendayal Port (Kandla),1030.94,ICD Ludhiana,150.26,Kartarpur Sahib ICP,54.72,Sri Guru Ram Dass Jee International Airport (ATQ),24.49,MMLP Jammu,118.66,Varanasi Multi-Modal Terminal,1068.13,FCI Depot Ferozepur,83.12
CHAK BATH,AMRITSAR,49,0,village,Kathunangal,18.51,Kathunangal,18.51,Deendayal Port (Kandla),1058.08,ICD Ludhiana,138.18,Kartarpur Sahib ICP,22.06,Sri Guru Ram Dass Jee International Airport (ATQ),13.88,MMLP Jammu,98.92,Varanasi Multi-Modal Terminal,1055.51,FCI Depot Jammu,98.92
