district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
ARIYALUR,215,12.62,12.48,36.27906976744186,98.6046511627907,100.0,46.06,46.75,0.0,7.441860465116279,58.139534883720934,71.61,71.69,0.0,0.0,0.9302325581395349,134.24,134.08,0.0,0.0,0.0,1645.42,1647.51,0.0,0.0,0.0,76.59,74.84,0.0,0.0,10.69767441860465,227.0,225.39,0.0,0.0,0.0,342.05,340.43,0.0,0.0,0.0,75.42,73.71,0.0,0.0,11.627906976744185,751485.0
CHENGALPATTU,647,8.23,9.39,59.50540958268934,99.38176197836167,100.0,39.24,39.45,8.964451313755797,27.820710973724882,66.61514683153014,67.98,67.57,0.0,1.545595054095827,21.792890262751158,69.26,66.92,0.0,1.2364760432766615,19.01081916537867,1473.01,1473.02,0.0,0.0,0.0,51.13,50.73,2.3183925811437405,12.5193199381762,47.913446676970636,62.84,63.0,0.0,0.0,24.26584234930448,438.51,435.7,0.0,0.0,0.0,64.41,63.91,0.0,3.091190108191654,28.129829984544045,2472171.0
CHENNAI,17,1.33,2.09,100.0,100.0,100.0,9.94,9.61,52.94117647058824,100.0,100.0,9.17,10.16,58.82352941176471,100.0,100.0,9.94,10.8,52.94117647058824,100.0,100.0,1414.4,1414.24,0.0,0.0,0.0,11.53,12.22,29.411764705882355,100.0,100.0,36.5,35.88,0.0,0.0,100.0,379.18,380.11,0.0,0.0,0.0,7.97,8.21,64.70588235294117,100.0,100.0,4801403.0
COIMBATORE,303,8.94,9.98,56.43564356435643,97.6897689768977,100.0,260.57,261.92,0.0,0.0,0.0,131.13,135.76,0.0,0.0,0.0,28.54,28.57,4.62046204620462,42.244224422442244,96.36963696369637,1826.75,1823.09,0.0,0.0,0.0,100.6,102.42,0.0,0.0,0.0,29.08,29.34,4.9504950495049505,40.5940594059406,95.37953795379538,111.49,116.16,0.0,0.0,0.0,29.08,29.34,4.9504950495049505,40.5940594059406,95.37953795379538,3475300.0
CUDDALORE,885,7.1,8.26,66.21468926553672,100.0,100.0,28.79,27.99,6.779661016949152,38.983050847457626,97.06214689265536,80.71,79.18,0.0,0.0,8.47457627118644,148.93,144.47,0.0,0.0,0.0,1604.59,1602.01,0.0,0.0,0.0,117.8,118.53,0.0,0.0,0.0,190.88,186.33,0.0,0.0,0.0,380.91,377.79,0.0,0.0,0.0,116.56,117.85,0.0,0.0,0.0,2614879.0
DHARMAPURI,512,10.29,12.18,48.828125,89.453125,100.0,134.055,139.94,0.0,0.0,0.0,209.82,215.8,0.0,0.0,0.0,58.625,57.8,0.0,0.0,25.1953125,1627.2649999999999,1630.43,0.0,0.0,0.0,134.87,130.58,0.0,0.0,0.0,151.70999999999998,146.71,0.0,0.0,0.0,311.74,308.67,0.0,0.0,0.0,116.685,111.11,0.0,0.0,0.0,1497244.0
DINDIGUL,415,9.9,11.8,50.602409638554214,92.28915662650601,100.0,208.45,207.82,0.0,0.0,0.0,168.29,168.92,0.0,0.0,0.0,60.12,59.07,0.0,0.9638554216867471,33.734939759036145,1806.0,1807.4,0.0,0.0,0.0,103.04,101.19,0.0,0.0,0.0,128.36,123.17,0.0,0.0,0.0,170.55,170.78,0.0,0.0,0.0,61.95,61.51,0.0,0.48192771084337355,32.7710843373494,2167100.0
ERODE,375,21.87,20.91,27.200000000000003,58.666666666666664,99.73333333333333,209.9,213.69,0.0,0.0,0.0,211.53,212.11,0.0,0.0,0.0,43.66,44.48,0.0,5.6000000000000005,69.6,1748.81,1747.0,0.0,0.0,0.0,142.05,139.71,0.0,0.0,0.0,75.99,77.0,0.0,0.0,4.8,191.97,192.67,0.0,0.0,0.0,74.21,76.43,0.0,0.0,4.8,2255237.0
KALLAKKURICHI,593,12.56,14.18,38.785834738617204,86.6779089376054,100.0,52.77,51.82,0.0,7.251264755480608,44.35075885328836,131.23,130.96,0.0,0.0,0.0,101.54,101.38,0.0,0.0,0.0,1602.05,1603.71,0.0,0.0,0.0,123.67,122.58,0.0,0.0,0.0,172.96,174.38,0.0,0.0,0.0,353.9,352.2,0.0,0.0,0.0,121.16,120.13,0.0,0.0,0.0,2472171.0
KANCHIPURAM,468,8.18,8.92,63.888888888888886,99.57264957264957,100.0,37.825,35.26,1.4957264957264957,25.64102564102564,83.97435897435898,61.06,58.53,0.0,4.273504273504273,27.99145299145299,46.725,47.12,0.0,3.8461538461538463,60.470085470085465,1462.37,1461.0,0.0,0.0,0.0,43.81999999999999,41.28,4.700854700854701,19.230769230769234,66.88034188034187,34.165,36.3,0.2136752136752137,18.803418803418804,84.61538461538461,411.58500000000004,413.24,0.0,0.0,0.0,57.665,55.03,0.0,5.3418803418803416,32.05128205128205,1472624.0
